Movie Title,Year,Score,Director,Cast,Consensus
Running Scared,1986,59,Peter Hyams,"Gregory Hines, Billy Crystal, Jimmy Smits, Steven Bauer","Running Scared struggles to strike a consistent balance between violent action and humor, but the chemistry between its well-matched leads keeps things entertaining."
Equilibrium,2002,40,Kurt Wimmer,"Christian Bale, Emily Watson, Taye Diggs, Angus Macfadyen",Equilibrium is a reheated mishmash of other sci-fi movies.
Hero,2002,94,Yimou Zhang,"Jet Li, Tony Leung Chiu Wai, Maggie Cheung, Donnie Yen","With death-defying action sequences and epic historic sweep, Hero offers everything a martial arts fan could ask for."
Road House,1989,41,Rowdy Herrington,"Patrick Swayze, Kelly Lynch, Sam Elliott, Ben Gazzara",Whether Road House is simply bad or so bad it's good depends largely on the audience's fondness for Swayze -- and tolerance for violently cheesy action.
Unstoppable,2010,87,Tony Scott,"Denzel Washington, Chris Pine, Rosario Dawson, Kevin Dunn","As fast, loud, and relentless as the train at the center of the story, Unstoppable is perfect popcorn entertainment -- and director Tony Scott's best movie in years."
Shaft,1971,88,Gordon Parks,"Richard Roundtree, Moses Gunn, Christopher St. John, Charles Cioffi","This is the man that would risk his neck for his brother, man. Can you dig it?"
The Villainess,2017,85,Jeong Byeong-gil,"Kim Ok-bin, Shin Ha-kyun, Sung-joon, Kim Seo-hyung",The Villainess offers enough pure kinetic thrills to satisfy genre enthusiasts -- and carve out a bloody niche for itself in modern Korean action cinema.
Highlander,1986,71,Russell Mulcahy,"Christopher Lambert, Sean Connery, Roxanne Hart, Clancy Brown","People hate Highlander because it's cheesy, bombastic, and absurd. And people love it for the same reasons."
Die Hard 2,1990,70,Renny Harlin,"Bruce Willis, Bonnie Bedelia, William Atherton, Reginald VelJohnson","It lacks the fresh thrills of its predecessor, but Die Hard 2 still works as an over-the-top -- and reasonably taut -- big-budget sequel, with plenty of set pieces to paper over the plot deficiencies."
National Treasure,2004,46,Jon Turteltaub,"Nicolas Cage, Diane Kruger, Justin Bartha, Sean Bean","National Treasure is no treasure, but it's a fun ride for those who can forgive its highly improbable plot."
The Protector,2005,53,Prachya Pinkaew,"Tony Jaa, Johnny Nguyen, Nathan Jones, Phetthai Vongkumlao","Despite some impressive fight scenes, this trimmed-down version of the Thai action pic is an off-putting mix of scant plot, choppy editing, and confusing subtitles and dubbing."
Revenge,2017,93,Coralie Fargeat,"Matilda Anna Ingrid Lutz, Kevin Janssens, Vincent Colombe, Guillaume Bouchède","Revenge slices and dices genre tropes, working within an exploitation framework while adding a timely -- yet never less than viscerally thrilling -- feminist spin."
El Mariachi,1992,91,Robert Rodriguez,"Carlos Gallardo, Consuelo Gómez, Reinol Martinez, Peter Marquardt","Made on a shoestring budget, El Mariachi's story is not new. However, the movie has so much energy that it's thoroughly enjoyable."
A Touch of Zen,1971,97,King Hu,"Feng Hsu, Chun Shih, Pai Ying, Roy Chiao","A brilliantly directed feast for the eyes with an epic story to match, A Touch of Zen marks a groundbreaking achievement in the wuxia genre."
Top Gun,1986,58,Tony Scott,"Tom Cruise, Kelly McGillis, Anthony Edwards, Val Kilmer","Though it features some of the most memorable and electrifying aereial footage shot with an expert eye for action, Top Gun offers too little for non-adolescent viewers to chew on when its characters aren't in the air."
Con Air,1997,58,Simon West,"Nicolas Cage, John Cusack, John Malkovich, Steve Buscemi","Con Air won't win any awards for believability - and all involved seem cheerfully aware of it, making some of this blockbuster action outing's biggest flaws fairly easy to forgive."
The Expendables 2,2012,67,Simon West,"Sylvester Stallone, Jason Statham, Jet Li, Dolph Lundgren","Taut, violent, and suitably self-deprecating, The Expendables 2 gives classic action fans everything they can reasonably expect from a star-studded shoot-'em-up -- for better and for worse."
The Mummy,1999,60,Stephen Sommers,"Brendan Fraser, Rachel Weisz, John Hannah, Arnold Vosloo","It's difficult to make a persuasive argument for The Mummy as any kind of meaningful cinematic achievement, but it's undeniably fun to watch."
Mr. & Mrs. Smith,2005,59,Doug Liman,"Brad Pitt, Angelina Jolie, Vince Vaughn, Adam Brody","Although this action-romance suffers from weak writing and one too many explosions, the chemistry generated by onscreen couple Pitt and Jolie is palpable enough to make this a thoroughly enjoyable summer action flick."
Rush Hour,1998,62,Brett Ratner,"Jackie Chan, Chris Tucker, Tom Wilkinson, Elizabeth Peña","While it won't win any awards for originality, the combustible chemistry between its stars means Rush Hour hits just as hard on either side of the action-comedy divide."
The Equalizer,2014,60,Antoine Fuqua,"Denzel Washington, Marton Csokas, Chloë Grace Moretz, David Harbour","The Equalizer is more stylishly violent than meaningful, but with Antoine Fuqua behind the cameras and Denzel Washington dispensing justice, it delivers."
Captain America: Civil War,2016,90,Anthony Russo,"Chris Evans, Robert Downey Jr., Scarlett Johansson, Sebastian Stan",Captain America: Civil War begins the next wave of Marvel movies with an action-packed superhero blockbuster boasting a decidedly non-cartoonish plot and the courage to explore thought-provoking themes.
Air Force One,1997,79,Wolfgang Petersen,"Harrison Ford, Gary Oldman, Glenn Close, Wendy Crewson","This late-period Harrison Ford actioner is full of palpable, if not entirely seamless, thrills."
Bloodsport,1988,46,Newt Arnold,"Jean-Claude Van Damme, Donald Gibb, Leah Ayres, Norman Burton","This is where it all began for the Muscles from Brussels, but beyond Van Damme's athleticism, Bloodsport is a cliched, virtually plotless exercise in action movie recycling."
Blade,1998,57,Stephen Norrington,"Wesley Snipes, Stephen Dorff, Kris Kristofferson, N'Bushe Wright","Though some may find the plot a bit lacking, Blade's action is fierce, plentiful, and appropriately stylish for a comic book adaptation."
Bad Boys,1995,43,Michael Bay,"Martin Lawrence, Will Smith, Téa Leoni, Tchéky Karyo","Bad Boys stars Will Smith and Martin Lawrence have enjoyable chemistry; unfortunately, director Michael Bay too often drowns it out with set pieces and explosions in place of an actual story."
Die Hard With a Vengeance,1995,58,John McTiernan,"Bruce Willis, Jeremy Irons, Samuel L. Jackson, Graham Greene","Die Hard with a Vengeance benefits from Bruce Willis and Samuel L. Jackson's barbed interplay, but clatters to a bombastic finish in a vain effort to cover for an overall lack of fresh ideas."
The Running Man,1987,66,Paul Michael Glaser,"Arnold Schwarzenegger, Maria Conchita Alonso, Richard Dawson, Yaphet Kotto",The Running Man is winking sci-fi satire with ridiculous clothes and workmanlike direction.
Code of Silence,1985,70,Andrew Davis,"Chuck Norris, Henry Silva, Bert Remsen, Mike Genovese",No consensus yet.
Shoot 'Em Up,2007,67,Michael Davis,"Clive Owen, Paul Giamatti, Monica Bellucci, Daniel Pilon","As preposterous and over-the-top as Shoot 'Em Up may be, its humor and non-stop action make for a very enjoyable film."
Crank,2006,62,Mark Neveldine,"Jason Statham, Amy Smart, Jose Pablo Cantillo, Efren Ramirez","Crank's assaultive style and gleeful depravity may turn off casual action fans, but audiences seeking a strong dose of adrenaline will be thrilled by Jason Statham's raucous race against mortality."
Machete,2010,71,Robert Rodriguez,"Danny Trejo, Robert De Niro, Jessica Alba, Steven Seagal","Machete is messy, violent, shallow, and tasteless -- and that's precisely the point of one of the summer's most cartoonishly enjoyable films."
Drive,2011,93,Nicolas Winding Refn,"Ryan Gosling, Carey Mulligan, Bryan Cranston, Albert Brooks","With its hyper-stylized blend of violence, music, and striking imagery, Drive represents a fully realized vision of arthouse action."
Batman,1989,75,Tim Burton,"Jack Nicholson, Michael Keaton, Kim Basinger, Robert Wuhl","An eerie, haunting spectacle, Batman succeeds as dark entertainment, even if Jack Nicholson's Joker too often overshadows the title character."
